0:00:00.657606381 11038 0xaaaada93b300 WARN                     mpp gstmpp.c:121:gst_mpp_use_rga: RGA enabled
0:00:02.224199929 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0x120000: 'AVR (Audio Visual Research)' is not mapped
0:00:02.224318640 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0x180000: 'CAF (Apple Core Audio File)' is not mapped
0:00:02.224336433 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0x100000: 'HTK (HMM Tool Kit)' is not mapped
0:00:02.224373184 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0xc0000: 'MAT4 (GNU Octave 2.0 / Matlab 4.2)' is not mapped
0:00:02.224390684 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0xd0000: 'MAT5 (GNU Octave 2.1 / Matlab 5.0)' is not mapped
0:00:02.224404393 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0x210000: 'MPC (Akai MPC 2k)' is not mapped
0:00:02.224421310 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0x230000: 'MPEG-1/2 Audio' is not mapped
0:00:02.224441727 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0xe0000: 'PVF (Portable Voice Format)' is not mapped
0:00:02.224462144 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0x160000: 'SD2 (Sound Designer II)' is not mapped
0:00:02.224525438 11038 0xaaaada93b300 WARN                 default gstsfelement.c:97:gst_sf_create_audio_template_caps: format 0x190000: 'WVE (Psion Series 3)' is not mapped
0:00:04.518901897 11038 0xaaaada93b300 WARN                 default gstvaapi.c:231:plugin_init: Cannot create a VA display
0:00:05.135776957 11038 0xaaaada93b300 WARN               vadisplay gstvadisplay.c:316:gst_va_display_initialize:<vadisplaydrm0> vaInitialize: unknown libva error
0:00:05.139597893 11038 0xaaaada93b300 WARN               vadisplay gstvadisplay.c:316:gst_va_display_initialize:<vadisplaydrm1> vaInitialize: unknown libva error
0:00:05.207586911 11038 0xaaaada93b300 INFO          rtspclientsink gstrtspclientsink.c:453:gst_rtsp_client_sink_child_proxy_init: intializing child proxy interface
0:00:05.431230907 11038 0xaaaada93b300 WARN              cudaloader gstcudaloader.c:169:gst_cuda_load_library: Could not open library libcuda.so.1, libcuda.so.1: cannot open shared object file: No such file or directory
0:00:05.436084661 11038 0xaaaada93b300 WARN                 nvcodec plugin.c:94:plugin_init: Failed to load cuda library
0:00:08.452555284 11038 0xaaaada93b300 INFO                 x264enc gstx264enc.c:3123:x264_element_init: linked against x264 build: 164
0:00:08.452725039 11038 0xaaaada93b300 INFO                 x264enc gstx264enc.c:338:load_x264_libraries: 8-bit depth and 10-bit depth supported
0:00:09.976377111 11038 0xaaaada93b300 WARN                  ladspa gstladspa.c:509:plugin_init:<plugin270> no LADSPA plugins found, check LADSPA_PATH
0:00:14.316930741 11036     0x10e879e0 DEBUG           GST_PIPELINE parse.l:146:priv_gst_parse_yylex: flex: LINK: !
0:00:14.333846406 11036     0x10e879e0 WARN                     mpp gstmpp.c:121:gst_mpp_use_rga: RGA enabled
0:00:14.334547592 11036     0x10e879e0 DEBUG           GST_PIPELINE parse.l:181:priv_gst_parse_yylex: flex: SPACE: [ ]
0:00:14.334608260 11036     0x10e879e0 DEBUG           GST_PIPELINE parse.l:135:priv_gst_parse_yylex: flex: IDENTIFIER: h264parse
0:00:14.334629261 11036     0x10e879e0 DEBUG           GST_PIPELINE parse.l:181:priv_gst_parse_yylex: flex: SPACE: [ ]
0:00:14.334643261 11036     0x10e879e0 DEBUG           GST_PIPELINE parse.l:93:priv_gst_parse_yylex: flex: ASSIGNMENT: config-interval=1
0:00:14.334657553 11036     0x10e879e0 DEBUG           GST_PIPELINE parse.l:181:priv_gst_parse_yylex: flex: SPACE: [ ]
0:00:14.334670095 11036     0x10e879e0 DEBUG           GST_PIPELINE parse.l:146:priv_gst_parse_yylex: flex: LINK: !
0:00:14.338522825 11036     0x10e879e0 DEBUG           GST_PIPELINE parse.l:181:priv_gst_parse_yylex: flex: SPACE: [ ]
0:00:14.338596618 11036     0x10e879e0 DEBUG           GST_PIPELINE parse.l:135:priv_gst_parse_yylex: flex: IDENTIFIER: rtph264pay
0:00:14.338614410 11036     0x10e879e0 DEBUG           GST_PIPELINE parse.l:181:priv_gst_parse_yylex: flex: SPACE: [ ]
0:00:14.338628994 11036     0x10e879e0 DEBUG           GST_PIPELINE parse.l:93:priv_gst_parse_yylex: flex: ASSIGNMENT: name=pay0
0:00:14.338643578 11036     0x10e879e0 DEBUG           GST_PIPELINE parse.l:181:priv_gst_parse_yylex: flex: SPACE: [ ]
0:00:14.338658453 11036     0x10e879e0 DEBUG           GST_PIPELINE parse.l:93:priv_gst_parse_yylex: flex: ASSIGNMENT: pt=96)
0:00:14.343772966 11036     0x10e879e0 ERROR           GST_PIPELINE gst/parse/grammar.y:612:gst_parse_element_make: could not set property "pt" in element "rtph264pay" to "96)"
0:00:14.343896345 11036     0x10e879e0 ERROR           GST_PIPELINE gst/parse/grammar.y:1264:priv_gst_parse_yyparse: link has no sink [source=@0xffffac03dc50]
0:00:14.343920845 11036     0x10e879e0 WARN                 default gst/parse/grammar.y:1500:priv_gst_parse_yyerror: Error during parsing: syntax error
0:00:14.343934554 11036     0x10e879e0 DEBUG           GST_PIPELINE gst/parse/grammar.y:1423:priv_gst_parse_yyparse: trying to recover from syntax error
0:00:14.343945638 11036     0x10e879e0 ERROR           GST_PIPELINE gst/parse/grammar.y:1424:priv_gst_parse_yyparse: syntax error
0:00:14.343970430 11036     0x10e879e0 ERROR           GST_PIPELINE gst/parse/grammar.y:1540:priv_gst_parse_launch: Unrecoverable syntax error while parsing pipeline (v4l2src device=/dev/video0 io-mode=dmabuf ! video/x-raw,format=NV12,width=1280,height=720,framerate=20/1 ! videoconvert ! video/x-raw,format=NV12,width=1280,height=720 ! mpph264enc rc-mode=cbr bps=2000000 gop=20 ! h264parse config-interval=1 ! rtph264pay name=pay0 pt=96)

(python3:11036): GStreamer-RTSP-Server-CRITICAL **: 21:17:22.200: could not parse launch syntax ((v4l2src device=/dev/video0 io-mode=dmabuf ! video/x-raw,format=NV12,width=1280,height=720,framerate=20/1 ! videoconvert ! video/x-raw,format=NV12,width=1280,height=720 ! mpph264enc rc-mode=cbr bps=2000000 gop=20 ! h264parse config-interval=1 ! rtph264pay name=pay0 pt=96)): could not set property "pt" in element "rtph264pay" to "96)"

(python3:11036): GStreamer-RTSP-Server-CRITICAL **: 21:17:22.200: could not create element
0:00:14.344684158 11036     0x10e879e0 INFO        rtspmediafactory rtsp-media-factory.c:1452:gst_rtsp_media_factory_construct: constructed media (nil) for url /stream
0:00:14.344711575 11036     0x10e879e0 ERROR             rtspclient rtsp-client.c:1095:find_media: client 0x10e8d150: can't create media
0:00:14.345008208 11036     0x10e879e0 ERROR             rtspclient rtsp-client.c:3412:handle_describe_request: client 0x10e8d150: no media
0:00:14.349525080 11036     0x10e879e0 INFO              rtspclient rtsp-client.c:5012:closed: client 0x10e8d150: connection closed
0:00:14.349860798 11036     0x10e879e0 INFO              rtspclient rtsp-client.c:5292:client_watch_notify: client 0x10e8d150: watch destroyed
0:00:14.349904549 11036     0x10e879e0 DEBUG             rtspclient rtsp-client.c:2657:rtsp_ctrl_timeout_remove_unlocked: rtsp control session removed timeout 0x10e22400.
0:00:14.350076637 11036     0x10e879e0 DEBUG             rtspserver rtsp-server.c:1075:unmanage_client:<__main__+Server@0x10c339c0> unmanage client 0x10e8d150
0:00:14.350245225 11036     0x10e879e0 DEBUG             rtspserver rtsp-server.c:1055:free_client_context: free context 0x10c4d800
0:00:14.350309102 11036     0x10e879e0 INFO              rtspclient rtsp-client.c:763:gst_rtsp_client_finalize: finalize client 0x10e8d150
0:00:14.350935910 11036     0x10e879e0 INFO          rtspthreadpool rtsp-thread-pool.c:331:do_loop: exit mainloop of thread 0x10e8c090
